fips,state_abbr,lat,long
18153,IN,39.089225,-87.415843
18155,IN,38.825854,-85.029681
18157,IN,40.389133,-86.893554
18159,IN,40.310229,-86.056207
18161,IN,39.623111,-84.925152
18163,IN,38.02007,-87.586166
18165,IN,39.854045,-87.462071
18167,IN,39.429143,-87.390375
18169,IN,40.843747,-85.795192
18171,IN,40.352658,-87.375847
18173,IN,38.097728,-87.272049
18175,IN,38.600613,-86.104751
18177,IN,39.863091,-85.006735
18179,IN,40.735273,-85.212974
18181,IN,40.75095,-86.864293
18183,IN,41.136426,-85.501892
19001,IA,41.328528,-94.478164
19003,IA,41.021656,-94.696906
19005,IA,43.274964,-91.382751
19007,IA,40.744296,-92.873061
19009,IA,41.679178,-94.904312
19011,IA,42.092547,-92.05763
19013,IA,42.471132,-92.3076
19015,IA,42.038642,-93.938358
19017,IA,42.780895,-92.327356
19019,IA,42.470328,-91.838666
19021,IA,42.741522,-95.141432
19023,IA,42.734757,-92.780153
19025,IA,42.38617,-94.643683
19027,IA,42.039492,-94.867647
19029,IA,41.333824,-94.933302
19031,IA,41.77236,-91.132611
19033,IA,43.074975,-93.250965
19035,IA,42.742737,-95.633262
19037,IA,43.059741,-92.31721
19039,IA,41.029191,-93.784096
19041,IA,43.081224,-95.149875
19043,IA,42.840985,-91.323576
19045,IA,41.898073,-90.534243
19047,IA,42.043119,-95.38909
19049,IA,41.68532,-94.040706
19051,IA,40.748089,-92.410345
19053,IA,40.736379,-93.78458
19055,IA,42.472937,-91.366767
19057,IA,40.915339,-91.186925
